artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Timber Timbre,Run From Me,41,spotify:track:0AwLsPPWgYkib7HCrayqwy,https://open.spotify.com/track/0AwLsPPWgYkib7HCrayqwy,0.44,0.416,11.0,-7.222,1.0,0.0322,0.19,0.723,0.11,0.412,101.93,audio_features,0AwLsPPWgYkib7HCrayqwy,https://api.spotify.com/v1/tracks/0AwLsPPWgYkib7HCrayqwy,https://api.spotify.com/v1/audio-analysis/0AwLsPPWgYkib7HCrayqwy,256920.0,3.0,,7
Pink Floyd,Run Like Hell,58,spotify:track:0EaLRxrtnq7Mqhdf8q9txr,https://open.spotify.com/track/0EaLRxrtnq7Mqhdf8q9txr,0.717,0.499,9.0,-15.449,1.0,0.0354,0.0233,0.445,0.86,0.419,116.974,audio_features,0EaLRxrtnq7Mqhdf8q9txr,https://api.spotify.com/v1/tracks/0EaLRxrtnq7Mqhdf8q9txr,https://api.spotify.com/v1/audio-analysis/0EaLRxrtnq7Mqhdf8q9txr,263573.0,4.0,,14
Ed Sheeran,Runaway,57,spotify:track:2VmA7bm5ECiYZfw7x4Nzku,https://open.spotify.com/track/2VmA7bm5ECiYZfw7x4Nzku,0.767,0.449,8.0,-7.158,0.0,0.0364,0.024,0.000299,0.151,0.908,95.03,audio_features,2VmA7bm5ECiYZfw7x4Nzku,https://api.spotify.com/v1/tracks/2VmA7bm5ECiYZfw7x4Nzku,https://api.spotify.com/v1/audio-analysis/2VmA7bm5ECiYZfw7x4Nzku,205133.0,4.0,,1
Piano Tribute Players,Running,0,spotify:track:0pB5aKjjEVhRyT2BGyRHM0,https://open.spotify.com/track/0pB5aKjjEVhRyT2BGyRHM0,0.622,0.402,0.0,-15.853,1.0,0.0486,0.983,0.849,0.0998,0.344,158.076,audio_features,0pB5aKjjEVhRyT2BGyRHM0,https://api.spotify.com/v1/tracks/0pB5aKjjEVhRyT2BGyRHM0,https://api.spotify.com/v1/audio-analysis/0pB5aKjjEVhRyT2BGyRHM0,264507.0,4.0,,4
Milky Chance,Running,42,spotify:track:2CVeqoap0AwLbdjWr6Rraq,https://open.spotify.com/track/2CVeqoap0AwLbdjWr6Rraq,0.642,0.52,7.0,-10.287,1.0,0.0524,0.663,0.0989,0.0601,0.198,79.013,audio_features,2CVeqoap0AwLbdjWr6Rraq,https://api.spotify.com/v1/tracks/2CVeqoap0AwLbdjWr6Rraq,https://api.spotify.com/v1/audio-analysis/2CVeqoap0AwLbdjWr6Rraq,268000.0,4.0,,10
WhoMadeWho,Running Man,0,spotify:track:5larzuprvcrShriXaRHAV6,https://open.spotify.com/track/5larzuprvcrShriXaRHAV6,0.714,0.92,9.0,-5.293,1.0,0.0655,0.0139,0.0162,0.0559,0.393,116.001,audio_features,5larzuprvcrShriXaRHAV6,https://api.spotify.com/v1/tracks/5larzuprvcrShriXaRHAV6,https://api.spotify.com/v1/audio-analysis/5larzuprvcrShriXaRHAV6,321080.0,4.0,,11
Hans Zimmer,Running Out,0,spotify:track:2CvYIKcGlkZTsjhAViX0Db,https://open.spotify.com/track/2CvYIKcGlkZTsjhAViX0Db,0.471,0.111,5.0,-36.28,1.0,0.0392,0.978,0.915,0.117,0.369,95.988,audio_features,2CvYIKcGlkZTsjhAViX0Db,https://api.spotify.com/v1/tracks/2CvYIKcGlkZTsjhAViX0Db,https://api.spotify.com/v1/audio-analysis/2CvYIKcGlkZTsjhAViX0Db,117241.0,5.0,,15
Tame Impala,Runway Houses City Clouds,41,spotify:track:3sqUOujROom85ggcQKIow1,https://open.spotify.com/track/3sqUOujROom85ggcQKIow1,0.437,0.754,3.0,-6.083,1.0,0.0505,0.0744,0.0485,0.13,0.344,119.014,audio_features,3sqUOujROom85ggcQKIow1,https://api.spotify.com/v1/tracks/3sqUOujROom85ggcQKIow1,https://api.spotify.com/v1/audio-analysis/3sqUOujROom85ggcQKIow1,435053.0,4.0,,8
Coldplay,A Rush of Blood to the Head,59,spotify:track:4JJ5zGKnb1IpERyBrfmb1y,https://open.spotify.com/track/4JJ5zGKnb1IpERyBrfmb1y,0.525,0.472,5.0,-8.018,1.0,0.0255,0.156,4.39e-06,0.29,0.116,138.39,audio_features,4JJ5zGKnb1IpERyBrfmb1y,https://api.spotify.com/v1/tracks/4JJ5zGKnb1IpERyBrfmb1y,https://api.spotify.com/v1/audio-analysis/4JJ5zGKnb1IpERyBrfmb1y,351400.0,4.0,,18
Family and Friends,Rust and Bone,23,spotify:track:72GvYVGwqDJoXgNqWmRqS4,https://open.spotify.com/track/72GvYVGwqDJoXgNqWmRqS4,0.374,0.568,10.0,-6.008,0.0,0.0327,0.0172,1.22e-06,0.173,0.162,115.983,audio_features,72GvYVGwqDJoXgNqWmRqS4,https://api.spotify.com/v1/tracks/72GvYVGwqDJoXgNqWmRqS4,https://api.spotify.com/v1/audio-analysis/72GvYVGwqDJoXgNqWmRqS4,315000.0,4.0,,18
